rooms,year_built,location,building_floor_num,garage,district,leasing,balcony,size_meters,door_type,apartment_floor_num,window_type,num_windows,floor_type
5+ өрөө,2010,Зайсан,14,Байгаа,Хан-Уул,Лизинггүй,2 тагттай,105.5,Төмөр вакум,5,Модон вакум,5,Паркет
2 өрөө,2019,Нисэх,12,Байгаа,Хан-Уул,Хувь лизингтэй,1 тагттай,61.0,Төмөр,6,Вакум,3,Паркет
2 өрөө,2017,Бусад,16,Байгаа,Баянзүрх,Банкны лизингтэй,1 тагттай,42.3,Вакум,9,Вакум,2,Паркет
2 өрөө,2009,25-р эмийн сан,6,Байгаа,Баянгол,Лизинггүй,1 тагттай,59.19,Бүргэд,2,Вакум,4,Паркет
2 өрөө,1994,21-р хороолол,5,Байхгүй,Сонгино Хайрхан,Лизинггүй,1 тагттай,56.0,Бүргэд,1,Вакум,3,Цемент
1 өрөө,2020,100 айл,10,Байхгүй,Баянзүрх,Банкны лизингтэй,1 тагттай,29.0,Бүргэд,3,Вакум,2,Паркет
1 өрөө,2012,Бусад,12,Байхгүй,Баянгол,Лизинггүй,1 тагттай,30.0,Төмөр,10,Вакум,2,Паркет
2 өрөө,2016,16-р хороолол,17,Байхгүй,Баянзүрх,Лизинггүй,Тагтгүй,51.0,Бүргэд,15,Вакум,1,Паркет
5+ өрөө,2012,120 мянгат,9,Байхгүй,Хан-Уул,Лизинггүй,1 тагттай,147.0,Бүргэд,9,Вакум,8,Паркет
2 өрөө,2014,Бусад,16,Байхгүй,Сүхбаатар,Хувь лизингтэй,1 тагттай,35.0,Бүргэд,2,Вакум,2,Паркет
4 өрөө,1989,1-р хороолол,9,Байгаа,Сонгино Хайрхан,Лизинггүй,2 тагттай,85.0,Бүргэд,5,Мод,5,Паркет
1 өрөө,2019,"3, 4 хороолол",16,Байхгүй,Баянгол,Лизинггүй,1 тагттай,31.9,Бүргэд,11,Вакум,2,Паркет
